,Crop,N,P,K,pH
92,pigeonpeas,20,60,20,5.36
93,pigeonpeas,20,60,20,5.34
94,pigeonpeas,20,60,20,5.32
95,mothbeans,20,40,20,5.5
96,mothbeans,20,40,20,5.52
97,mothbeans,20,40,20,5.54
98,mothbeans,20,40,20,5.56
99,mothbeans,20,40,20,5.58
100,mothbeans,20,40,20,5.6
101,mothbeans,20,40,20,5.62
102,mothbeans,20,40,20,5.64
103,mothbeans,20,40,20,5.66
104,mothbeans,20,40,20,5.68
105,mothbeans,20,40,20,5.48
106,mothbeans,20,40,20,5.46
107,mothbeans,20,40,20,5.44
108,mothbeans,20,40,20,5.42
109,mothbeans,20,40,20,5.4
110,mothbeans,20,40,20,5.38
111,mothbeans,20,40,20,5.36
112,mothbeans,20,40,20,5.34
113,mothbeans,20,40,20,5.32
114,mungbean,20,40,20,5.5
115,mungbean,20,40,20,5.52
116,mungbean,20,40,20,5.54
117,mungbean,20,40,20,5.56
118,mungbean,20,40,20,5.58
119,mungbean,20,40,20,5.6
120,mungbean,20,40,20,5.62
121,mungbean,20,40,20,5.64
122,mungbean,20,40,20,5.66
123,mungbean,20,40,20,5.68
124,mungbean,20,40,20,5.48
125,mungbean,20,40,20,5.46
126,mungbean,20,40,20,5.44
127,mungbean,20,40,20,5.42
128,mungbean,20,40,20,5.4
129,mungbean,20,40,20,5.38
130,mungbean,20,40,20,5.36
131,mungbean,20,40,20,5.34
132,mungbean,20,40,20,5.32
133,blackgram,40,60,20,5.0
134,blackgram,40,60,20,5.02
135,blackgram,40,60,20,5.04
136,blackgram,40,60,20,5.06
137,blackgram,40,60,20,5.08
138,blackgram,40,60,20,5.1
139,blackgram,40,60,20,5.12
140,blackgram,40,60,20,5.14
141,blackgram,40,60,20,5.16
142,blackgram,40,60,20,5.18
143,blackgram,40,60,20,4.98
144,blackgram,40,60,20,4.96
145,blackgram,40,60,20,4.94
146,blackgram,40,60,20,4.92
147,blackgram,40,60,20,4.9
148,blackgram,40,60,20,4.88
149,blackgram,40,60,20,4.86
150,blackgram,40,60,20,4.84
151,blackgram,40,60,20,4.82
152,lentil,20,60,20,5.5
153,lentil,20,60,20,5.52
154,lentil,20,60,20,5.54
155,lentil,20,60,20,5.56
156,lentil,20,60,20,5.58
157,lentil,20,60,20,5.6
158,lentil,20,60,20,5.62
159,lentil,20,60,20,5.64
160,lentil,20,60,20,5.66
161,lentil,20,60,20,5.68
162,lentil,20,60,20,5.48
163,lentil,20,60,20,5.46
164,lentil,20,60,20,5.44
165,lentil,20,60,20,5.42
166,lentil,20,60,20,5.4
167,lentil,20,60,20,5.38
168,lentil,20,60,20,5.36
169,lentil,20,60,20,5.34
170,lentil,20,60,20,5.32
171,pomegranate,20,10,40,5.5
172,pomegranate,20,10,40,5.52
173,pomegranate,20,10,40,5.54
174,pomegranate,20,10,40,5.56
175,pomegranate,20,10,40,5.58
176,pomegranate,20,10,40,5.6
177,pomegranate,20,10,40,5.62
178,pomegranate,20,10,40,5.64
179,pomegranate,20,10,40,5.66
180,pomegranate,20,10,40,5.68
181,pomegranate,20,10,40,5.48
182,pomegranate,20,10,40,5.46
183,pomegranate,20,10,40,5.44
184,pomegranate,20,10,40,5.42
185,pomegranate,20,10,40,5.4
186,pomegranate,20,10,40,5.38
187,pomegranate,20,10,40,5.36
188,pomegranate,20,10,40,5.34
189,pomegranate,20,10,40,5.32
190,banana,100,75,50,6.5
191,banana,100,75,50,6.52
192,banana,100,75,50,6.54
193,banana,100,75,50,6.56
194,banana,100,75,50,6.58
195,banana,100,75,50,6.6
196,banana,100,75,50,6.62
197,banana,100,75,50,6.64
198,banana,100,75,50,6.66
199,banana,100,75,50,6.68
200,banana,100,75,50,6.48
201,banana,100,75,50,6.46
202,banana,100,75,50,6.44
203,banana,100,75,50,6.42
204,banana,100,75,50,6.4
205,banana,100,75,50,6.38
206,banana,100,75,50,6.36
207,banana,100,75,50,6.34
208,banana,100,75,50,6.32
209,mango,20,20,30,5.0
210,mango,20,20,30,5.02
211,mango,20,20,30,5.04
212,mango,20,20,30,5.06
213,mango,20,20,30,5.08
214,mango,20,20,30,5.1
215,mango,20,20,30,5.12
216,mango,20,20,30,5.14
217,mango,20,20,30,5.16
218,mango,20,20,30,5.18
219,mango,20,20,30,4.98
220,mango,20,20,30,4.96
221,mango,20,20,30,4.94
222,mango,20,20,30,4.92
223,mango,20,20,30,4.9
224,mango,20,20,30,4.88
225,mango,20,20,30,4.86
226,mango,20,20,30,4.84
227,mango,20,20,30,4.82
228,grapes,20,125,200,4.0
229,grapes,20,125,200,4.02
230,grapes,20,125,200,4.04
231,grapes,20,125,200,4.06
232,grapes,20,125,200,4.08
233,grapes,20,125,200,4.1
234,grapes,20,125,200,4.12
235,grapes,20,125,200,4.14
236,grapes,20,125,200,4.16
237,grapes,20,125,200,4.18
238,grapes,20,125,200,3.98
239,grapes,20,125,200,3.96
240,grapes,20,125,200,3.94
241,grapes,20,125,200,3.92
242,grapes,20,125,200,3.9
243,grapes,20,125,200,3.88
244,grapes,20,125,200,3.86
245,grapes,20,125,200,3.84
246,grapes,20,125,200,3.82
247,watermelon,100,10,50,5.5
248,watermelon,100,10,50,5.52
249,watermelon,100,10,50,5.54
250,watermelon,100,10,50,5.56
251,watermelon,100,10,50,5.58
252,watermelon,100,10,50,5.6
253,watermelon,100,10,50,5.62
254,watermelon,100,10,50,5.64
255,watermelon,100,10,50,5.66
256,watermelon,100,10,50,5.68
257,watermelon,100,10,50,5.48
258,watermelon,100,10,50,5.46
259,watermelon,100,10,50,5.44
260,watermelon,100,10,50,5.42
261,watermelon,100,10,50,5.4
262,watermelon,100,10,50,5.38
263,watermelon,100,10,50,5.36
264,watermelon,100,10,50,5.34
265,watermelon,100,10,50,5.32
266,muskmelon,100,10,50,5.5
267,muskmelon,100,10,50,5.52
268,muskmelon,100,10,50,5.54
269,muskmelon,100,10,50,5.56
270,muskmelon,100,10,50,5.58
271,muskmelon,100,10,50,5.6
272,muskmelon,100,10,50,5.62
273,muskmelon,100,10,50,5.64
274,muskmelon,100,10,50,5.66
275,muskmelon,100,10,50,5.68
276,muskmelon,100,10,50,5.48
277,muskmelon,100,10,50,5.46
278,muskmelon,100,10,50,5.44
279,muskmelon,100,10,50,5.42
280,muskmelon,100,10,50,5.4
281,muskmelon,100,10,50,5.38
282,muskmelon,100,10,50,5.36
283,muskmelon,100,10,50,5.34
284,muskmelon,100,10,50,5.32
285,apple,20,125,200,6.5
286,apple,20,125,200,6.52
287,apple,20,125,200,6.54
288,apple,20,125,200,6.56
289,apple,20,125,200,6.58
290,apple,20,125,200,6.6
291,apple,20,125,200,6.62
292,apple,20,125,200,6.64
293,apple,20,125,200,6.66
294,apple,20,125,200,6.68
295,apple,20,125,200,6.48
296,apple,20,125,200,6.46
297,apple,20,125,200,6.44
298,apple,20,125,200,6.42
299,apple,20,125,200,6.4
300,apple,20,125,200,6.38
301,apple,20,125,200,6.36
302,apple,20,125,200,6.34
303,apple,20,125,200,6.32
304,orange,20,10,10,4.0
305,orange,20,10,10,4.02
306,orange,20,10,10,4.04
307,orange,20,10,10,4.06
308,orange,20,10,10,4.08
309,orange,20,10,10,4.1
310,orange,20,10,10,4.12
311,orange,20,10,10,4.14
312,orange,20,10,10,4.16
313,orange,20,10,10,4.18
314,orange,20,10,10,3.98
315,orange,20,10,10,3.96
316,orange,20,10,10,3.94
317,orange,20,10,10,3.92
318,orange,20,10,10,3.9
319,orange,20,10,10,3.88
320,orange,20,10,10,3.86
321,orange,20,10,10,3.84
322,orange,20,10,10,3.82
323,papaya,50,50,50,6.0
324,papaya,50,50,50,6.02
325,papaya,50,50,50,6.04
326,papaya,50,50,50,6.06
327,papaya,50,50,50,6.08
328,papaya,50,50,50,6.1
329,papaya,50,50,50,6.12
330,papaya,50,50,50,6.14
331,papaya,50,50,50,6.16
332,papaya,50,50,50,6.18
333,papaya,50,50,50,5.98
334,papaya,50,50,50,5.96
335,papaya,50,50,50,5.94
336,papaya,50,50,50,5.92
337,papaya,50,50,50,5.9
338,papaya,50,50,50,5.88
339,papaya,50,50,50,5.86
340,papaya,50,50,50,5.84
341,papaya,50,50,50,5.82
342,coconut,20,10,30,5.0
343,coconut,20,10,30,5.02
344,coconut,20,10,30,5.04
345,coconut,20,10,30,5.06
346,coconut,20,10,30,5.08
347,coconut,20,10,30,5.1
348,coconut,20,10,30,5.12
349,coconut,20,10,30,5.14
350,coconut,20,10,30,5.16
351,coconut,20,10,30,5.18
352,coconut,20,10,30,4.98
353,coconut,20,10,30,4.96
354,coconut,20,10,30,4.94
355,coconut,20,10,30,4.92
356,coconut,20,10,30,4.9
357,coconut,20,10,30,4.88
358,coconut,20,10,30,4.86
359,coconut,20,10,30,4.84
360,coconut,20,10,30,4.82
361,cotton,120,40,20,5.5
362,cotton,120,40,20,5.52
363,cotton,120,40,20,5.54
364,cotton,120,40,20,5.56
365,cotton,120,40,20,5.58
366,cotton,120,40,20,5.6
367,cotton,120,40,20,5.62
368,cotton,120,40,20,5.64
369,cotton,120,40,20,5.66
370,cotton,120,40,20,5.68
371,cotton,120,40,20,5.48
372,cotton,120,40,20,5.46
373,cotton,120,40,20,5.44
374,cotton,120,40,20,5.42
375,cotton,120,40,20,5.4
376,cotton,120,40,20,5.38
377,cotton,120,40,20,5.36
378,cotton,120,40,20,5.34
379,cotton,120,40,20,5.32
380,jute,80,40,40,5.5
381,jute,80,40,40,5.52
382,jute,80,40,40,5.54
383,jute,80,40,40,5.56
384,jute,80,40,40,5.58
385,jute,80,40,40,5.6
386,jute,80,40,40,5.62
387,jute,80,40,40,5.64
388,jute,80,40,40,5.66
389,jute,80,40,40,5.68
390,jute,80,40,40,5.48
391,jute,80,40,40,5.46
392,jute,80,40,40,5.44
393,jute,80,40,40,5.42
394,jute,80,40,40,5.4
395,jute,80,40,40,5.38
396,jute,80,40,40,5.36
397,jute,80,40,40,5.34
398,jute,80,40,40,5.32
399,coffee,100,20,30,5.5
400,coffee,100,20,30,5.52
401,coffee,100,20,30,5.54
402,coffee,100,20,30,5.56
403,coffee,100,20,30,5.58
404,coffee,100,20,30,5.6
405,coffee,100,20,30,5.62
406,coffee,100,20,30,5.64
407,coffee,100,20,30,5.66
408,coffee,100,20,30,5.68
409,coffee,100,20,30,5.48
410,coffee,100,20,30,5.46
411,coffee,100,20,30,5.44
412,coffee,100,20,30,5.42
413,coffee,100,20,30,5.4
414,coffee,100,20,30,5.38
415,coffee,100,20,30,5.36
416,coffee,100,20,30,5.34
417,coffee,100,20,30,5.32
418,rice,80,40,40,5.5
419,rice,80,40,40,5.52
420,rice,80,40,40,5.54
421,rice,80,40,40,5.56
422,rice,80,40,40,5.58
423,rice,80,40,40,5.6
424,rice,80,40,40,5.62
425,rice,80,40,40,5.64
426,rice,80,40,40,5.66
427,rice,80,40,40,5.68
428,rice,80,40,40,5.48
429,rice,80,40,40,5.46
430,rice,80,40,40,5.44
431,rice,80,40,40,5.42
432,rice,80,40,40,5.4
433,rice,80,40,40,5.38
434,rice,80,40,40,5.36
435,rice,80,40,40,5.34
436,rice,80,40,40,5.32
437,maize,80,40,20,5.5
438,maize,80,40,20,5.52
439,maize,80,40,20,5.54
440,maize,80,40,20,5.56
441,maize,80,40,20,5.58
442,maize,80,40,20,5.6
443,maize,80,40,20,5.62
444,maize,80,40,20,5.64
445,maize,80,40,20,5.66
446,maize,80,40,20,5.68
447,maize,80,40,20,5.48
448,maize,80,40,20,5.46
449,maize,80,40,20,5.44
450,maize,80,40,20,5.42
451,maize,80,40,20,5.4
452,maize,80,40,20,5.38
453,maize,80,40,20,5.36
454,maize,80,40,20,5.34
455,maize,80,40,20,5.32
456,chickpea,40,60,80,5.5
457,chickpea,40,60,80,5.52
458,chickpea,40,60,80,5.54
459,chickpea,40,60,80,5.56
460,chickpea,40,60,80,5.58
461,chickpea,40,60,80,5.6
462,chickpea,40,60,80,5.62
463,chickpea,40,60,80,5.64
464,chickpea,40,60,80,5.66
465,chickpea,40,60,80,5.68
466,chickpea,40,60,80,5.48
467,chickpea,40,60,80,5.46
468,chickpea,40,60,80,5.44
469,chickpea,40,60,80,5.42
470,chickpea,40,60,80,5.4
471,chickpea,40,60,80,5.38
472,chickpea,40,60,80,5.36
473,chickpea,40,60,80,5.34
474,chickpea,40,60,80,5.32
475,kidneybeans,20,60,20,5.5
476,kidneybeans,20,60,20,5.52
477,kidneybeans,20,60,20,5.54
478,kidneybeans,20,60,20,5.56
479,kidneybeans,20,60,20,5.58
480,kidneybeans,20,60,20,5.6
481,kidneybeans,20,60,20,5.62
482,kidneybeans,20,60,20,5.64
483,kidneybeans,20,60,20,5.66
484,kidneybeans,20,60,20,5.68
485,kidneybeans,20,60,20,5.48
486,kidneybeans,20,60,20,5.46
487,kidneybeans,20,60,20,5.44
488,kidneybeans,20,60,20,5.42
489,kidneybeans,20,60,20,5.4
490,kidneybeans,20,60,20,5.38
491,kidneybeans,20,60,20,5.36
492,kidneybeans,20,60,20,5.34
493,kidneybeans,20,60,20,5.32
494,pigeonpeas,20,60,20,5.5
495,pigeonpeas,20,60,20,5.52
496,pigeonpeas,20,60,20,5.54
497,pigeonpeas,20,60,20,5.56
498,pigeonpeas,20,60,20,5.58
499,pigeonpeas,20,60,20,5.6
500,pigeonpeas,20,60,20,5.62
501,pigeonpeas,20,60,20,5.64
502,pigeonpeas,20,60,20,5.66
503,pigeonpeas,20,60,20,5.68
504,pigeonpeas,20,60,20,5.48
505,pigeonpeas,20,60,20,5.46
506,pigeonpeas,20,60,20,5.44
507,pigeonpeas,20,60,20,5.42
508,pigeonpeas,20,60,20,5.4
509,pigeonpeas,20,60,20,5.38
510,pigeonpeas,20,60,20,5.36
511,pigeonpeas,20,60,20,5.34
512,pigeonpeas,20,60,20,5.32
513,mothbeans,20,40,20,5.5
514,mothbeans,20,40,20,5.52
515,mothbeans,20,40,20,5.54
516,mothbeans,20,40,20,5.56
517,mothbeans,20,40,20,5.58
518,mothbeans,20,40,20,5.6
519,mothbeans,20,40,20,5.62
520,mothbeans,20,40,20,5.64
521,mothbeans,20,40,20,5.66
522,mothbeans,20,40,20,5.68
523,mothbeans,20,40,20,5.48
524,mothbeans,20,40,20,5.46
525,mothbeans,20,40,20,5.44
526,mothbeans,20,40,20,5.42
527,mothbeans,20,40,20,5.4
528,mothbeans,20,40,20,5.38
529,mothbeans,20,40,20,5.36
530,mothbeans,20,40,20,5.34
531,mothbeans,20,40,20,5.32
532,mungbean,20,40,20,5.5
533,mungbean,20,40,20,5.52
534,mungbean,20,40,20,5.54
535,mungbean,20,40,20,5.56
536,mungbean,20,40,20,5.58
537,mungbean,20,40,20,5.6
538,mungbean,20,40,20,5.62
539,mungbean,20,40,20,5.64
540,mungbean,20,40,20,5.66
541,mungbean,20,40,20,5.68
542,mungbean,20,40,20,5.48
543,mungbean,20,40,20,5.46
544,mungbean,20,40,20,5.44
545,mungbean,20,40,20,5.42
546,mungbean,20,40,20,5.4
547,mungbean,20,40,20,5.38
548,mungbean,20,40,20,5.36
549,mungbean,20,40,20,5.34
550,mungbean,20,40,20,5.32
551,blackgram,40,60,20,5.0
552,blackgram,40,60,20,5.02
553,blackgram,40,60,20,5.04
554,blackgram,40,60,20,5.06
555,blackgram,40,60,20,5.08
556,blackgram,40,60,20,5.1
557,blackgram,40,60,20,5.12
558,blackgram,40,60,20,5.14
559,blackgram,40,60,20,5.16
560,blackgram,40,60,20,5.18
561,blackgram,40,60,20,4.98
562,blackgram,40,60,20,4.96
563,blackgram,40,60,20,4.94
564,blackgram,40,60,20,4.92
565,blackgram,40,60,20,4.9
566,blackgram,40,60,20,4.88
567,blackgram,40,60,20,4.86
568,blackgram,40,60,20,4.84
569,blackgram,40,60,20,4.82
570,lentil,20,60,20,5.5
571,lentil,20,60,20,5.52
572,lentil,20,60,20,5.54
573,lentil,20,60,20,5.56
574,lentil,20,60,20,5.58
575,lentil,20,60,20,5.6
576,lentil,20,60,20,5.62
577,lentil,20,60,20,5.64
578,lentil,20,60,20,5.66
579,lentil,20,60,20,5.68
580,lentil,20,60,20,5.48
581,lentil,20,60,20,5.46
582,lentil,20,60,20,5.44
583,lentil,20,60,20,5.42
584,lentil,20,60,20,5.4
585,lentil,20,60,20,5.38
586,lentil,20,60,20,5.36
587,lentil,20,60,20,5.34
588,lentil,20,60,20,5.32
589,pomegranate,20,10,40,5.5
590,pomegranate,20,10,40,5.52
591,pomegranate,20,10,40,5.54
592,pomegranate,20,10,40,5.56
593,pomegranate,20,10,40,5.58
594,pomegranate,20,10,40,5.6
595,pomegranate,20,10,40,5.62
596,pomegranate,20,10,40,5.64
597,pomegranate,20,10,40,5.66
598,pomegranate,20,10,40,5.68
599,pomegranate,20,10,40,5.48
600,pomegranate,20,10,40,5.46
601,pomegranate,20,10,40,5.44
602,pomegranate,20,10,40,5.42
603,pomegranate,20,10,40,5.4
604,pomegranate,20,10,40,5.38
605,pomegranate,20,10,40,5.36
606,pomegranate,20,10,40,5.34
607,pomegranate,20,10,40,5.32
608,banana,100,75,50,6.5
609,banana,100,75,50,6.52
610,banana,100,75,50,6.54
611,banana,100,75,50,6.56
612,banana,100,75,50,6.58
613,banana,100,75,50,6.6
614,banana,100,75,50,6.62
615,banana,100,75,50,6.64
616,banana,100,75,50,6.66
617,banana,100,75,50,6.68
618,banana,100,75,50,6.48
619,banana,100,75,50,6.46
620,banana,100,75,50,6.44
621,banana,100,75,50,6.42
622,banana,100,75,50,6.4
623,banana,100,75,50,6.38
624,banana,100,75,50,6.36
625,banana,100,75,50,6.34
626,banana,100,75,50,6.32
627,mango,20,20,30,5.0
628,mango,20,20,30,5.02
629,mango,20,20,30,5.04
630,mango,20,20,30,5.06
631,mango,20,20,30,5.08
632,mango,20,20,30,5.1
633,mango,20,20,30,5.12
634,mango,20,20,30,5.14
635,mango,20,20,30,5.16
636,mango,20,20,30,5.18
637,mango,20,20,30,4.98
638,mango,20,20,30,4.96
639,mango,20,20,30,4.94
640,mango,20,20,30,4.92
641,mango,20,20,30,4.9
642,mango,20,20,30,4.88
643,mango,20,20,30,4.86
644,mango,20,20,30,4.84
645,mango,20,20,30,4.82
646,grapes,20,125,200,4.0
647,grapes,20,125,200,4.02
648,grapes,20,125,200,4.04
649,grapes,20,125,200,4.06
650,grapes,20,125,200,4.08
651,grapes,20,125,200,4.1
652,grapes,20,125,200,4.12
653,grapes,20,125,200,4.14
654,grapes,20,125,200,4.16
655,grapes,20,125,200,4.18
656,grapes,20,125,200,3.98
657,grapes,20,125,200,3.96
658,grapes,20,125,200,3.94
659,grapes,20,125,200,3.92
660,grapes,20,125,200,3.9
661,grapes,20,125,200,3.88
662,grapes,20,125,200,3.86
663,grapes,20,125,200,3.84
664,grapes,20,125,200,3.82
665,watermelon,100,10,50,5.5
666,watermelon,100,10,50,5.52
667,watermelon,100,10,50,5.54
668,watermelon,100,10,50,5.56
669,watermelon,100,10,50,5.58
670,watermelon,100,10,50,5.6
671,watermelon,100,10,50,5.62
672,watermelon,100,10,50,5.64
673,watermelon,100,10,50,5.66
674,watermelon,100,10,50,5.68
675,watermelon,100,10,50,5.48
676,watermelon,100,10,50,5.46
677,watermelon,100,10,50,5.44
678,watermelon,100,10,50,5.42
679,watermelon,100,10,50,5.4
680,watermelon,100,10,50,5.38
681,watermelon,100,10,50,5.36
682,watermelon,100,10,50,5.34
683,watermelon,100,10,50,5.32
684,muskmelon,100,10,50,5.5
685,muskmelon,100,10,50,5.52
686,muskmelon,100,10,50,5.54
687,muskmelon,100,10,50,5.56
688,muskmelon,100,10,50,5.58
689,muskmelon,100,10,50,5.6
690,muskmelon,100,10,50,5.62
691,muskmelon,100,10,50,5.64
692,muskmelon,100,10,50,5.66
693,muskmelon,100,10,50,5.68
694,muskmelon,100,10,50,5.48
695,muskmelon,100,10,50,5.46
696,muskmelon,100,10,50,5.44
697,muskmelon,100,10,50,5.42
698,muskmelon,100,10,50,5.4
699,muskmelon,100,10,50,5.38
700,muskmelon,100,10,50,5.36
701,muskmelon,100,10,50,5.34
702,muskmelon,100,10,50,5.32
703,apple,20,125,200,6.5
704,apple,20,125,200,6.52
705,apple,20,125,200,6.54
706,apple,20,125,200,6.56
707,apple,20,125,200,6.58
708,apple,20,125,200,6.6
709,apple,20,125,200,6.62
710,apple,20,125,200,6.64
711,apple,20,125,200,6.66
712,apple,20,125,200,6.68
713,apple,20,125,200,6.48
714,apple,20,125,200,6.46
715,apple,20,125,200,6.44
716,apple,20,125,200,6.42
717,apple,20,125,200,6.4
718,apple,20,125,200,6.38
719,apple,20,125,200,6.36
720,apple,20,125,200,6.34
721,apple,20,125,200,6.32
722,orange,20,10,10,4.0
723,orange,20,10,10,4.02
724,orange,20,10,10,4.04
725,orange,20,10,10,4.06
726,orange,20,10,10,4.08
727,orange,20,10,10,4.1
728,orange,20,10,10,4.12
729,orange,20,10,10,4.14
730,orange,20,10,10,4.16
731,orange,20,10,10,4.18
732,orange,20,10,10,3.98
733,orange,20,10,10,3.96
734,orange,20,10,10,3.94
735,orange,20,10,10,3.92
736,orange,20,10,10,3.9
737,orange,20,10,10,3.88
738,orange,20,10,10,3.86
739,orange,20,10,10,3.84
740,orange,20,10,10,3.82
741,papaya,50,50,50,6.0
742,papaya,50,50,50,6.02
743,papaya,50,50,50,6.04
744,papaya,50,50,50,6.06
745,papaya,50,50,50,6.08
746,papaya,50,50,50,6.1
747,papaya,50,50,50,6.12
748,papaya,50,50,50,6.14
749,papaya,50,50,50,6.16
750,papaya,50,50,50,6.18
751,papaya,50,50,50,5.98
752,papaya,50,50,50,5.96
753,papaya,50,50,50,5.94
754,papaya,50,50,50,5.92
755,papaya,50,50,50,5.9
756,papaya,50,50,50,5.88
757,papaya,50,50,50,5.86
758,papaya,50,50,50,5.84
759,papaya,50,50,50,5.82
760,coconut,20,10,30,5.0
761,coconut,20,10,30,5.02
762,coconut,20,10,30,5.04
763,coconut,20,10,30,5.06
764,coconut,20,10,30,5.08
765,coconut,20,10,30,5.1
766,coconut,20,10,30,5.12
767,coconut,20,10,30,5.14
768,coconut,20,10,30,5.16
769,coconut,20,10,30,5.18
770,coconut,20,10,30,4.98
771,coconut,20,10,30,4.96
772,coconut,20,10,30,4.94
773,coconut,20,10,30,4.92
774,coconut,20,10,30,4.9
775,coconut,20,10,30,4.88
776,coconut,20,10,30,4.86
777,coconut,20,10,30,4.84
778,coconut,20,10,30,4.82
779,cotton,120,40,20,5.5
780,cotton,120,40,20,5.52
781,cotton,120,40,20,5.54
782,cotton,120,40,20,5.56
783,cotton,120,40,20,5.58
784,cotton,120,40,20,5.6
785,cotton,120,40,20,5.62
786,cotton,120,40,20,5.64
787,cotton,120,40,20,5.66
788,cotton,120,40,20,5.68
789,cotton,120,40,20,5.48
790,cotton,120,40,20,5.46
791,cotton,120,40,20,5.44
792,cotton,120,40,20,5.42
793,cotton,120,40,20,5.4
794,cotton,120,40,20,5.38
795,cotton,120,40,20,5.36
796,cotton,120,40,20,5.34
797,cotton,120,40,20,5.32
798,jute,80,40,40,5.5
799,jute,80,40,40,5.52
800,jute,80,40,40,5.54
801,jute,80,40,40,5.56
802,jute,80,40,40,5.58
803,jute,80,40,40,5.6
804,jute,80,40,40,5.62
805,jute,80,40,40,5.64
806,jute,80,40,40,5.66
807,jute,80,40,40,5.68
808,jute,80,40,40,5.48
809,jute,80,40,40,5.46
810,jute,80,40,40,5.44
811,jute,80,40,40,5.42
812,jute,80,40,40,5.4
813,jute,80,40,40,5.38
814,jute,80,40,40,5.36
815,jute,80,40,40,5.34
816,jute,80,40,40,5.32
817,coffee,100,20,30,5.5
818,coffee,100,20,30,5.52
819,coffee,100,20,30,5.54
820,coffee,100,20,30,5.56
821,coffee,100,20,30,5.58
822,coffee,100,20,30,5.6
823,coffee,100,20,30,5.62
824,coffee,100,20,30,5.64
825,coffee,100,20,30,5.66
826,coffee,100,20,30,5.68
827,coffee,100,20,30,5.48
828,coffee,100,20,30,5.46
829,coffee,100,20,30,5.44
830,coffee,100,20,30,5.42
831,coffee,100,20,30,5.4
832,coffee,100,20,30,5.38
833,coffee,100,20,30,5.36
834,coffee,100,20,30,5.34
835,coffee,100,20,30,5.32
836,rice,80,40,40,5.5
837,rice,80,40,40,5.52
838,rice,80,40,40,5.54
839,rice,80,40,40,5.56
840,rice,80,40,40,5.58
841,rice,80,40,40,5.6
842,rice,80,40,40,5.62
843,rice,80,40,40,5.64
844,rice,80,40,40,5.66
845,rice,80,40,40,5.68
846,rice,80,40,40,5.48
847,rice,80,40,40,5.46
848,rice,80,40,40,5.44
849,rice,80,40,40,5.42
